Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
141,47.851063830,18.660476250,-0.042553191,ENGLEWOOD CITY,0.165438679,0.310075666,0.066552412,0.0525
39,54.051282051,19.190113570,-0.179487179,CANAL FULTON CITY,0.217655480,0.386190490,0.113023576,0.049479167
84,48.142857143,19.778985354,-0.190476190,GREENVILLE CITY,0.151626040,0.271399883,0.063031430,0.038793103
59,44.796610169,18.222551073,-0.033898305,NAPOLEON CITY,0.125720518,0.218037039,0.052557368,0
191,51.507853403,18.910556537,0.073298429,MASSILLON CITY,0.180162189,0.340862528,0.079512898,0.034817352
82,54.536585366,18.631047446,-0.073170732,VERMILION CITY,0.207692598,0.361289257,0.101880205,0.037313433
620,45.787096774,17.601581327,0.085483871,BLUE ASH CITY,0.152894605,0.285084163,0.043014183,0.006756757
58,53.086206897,21.464196613,-0.362068966,COLUMBIANA CITY,0.249554079,0.453432441,0.113882041,0.075581395
31,40.741935484,16.996014713,-0.096774194,LOGAN CITY,0.156596670,0.292467165,0.065363005,0.025
55,46.872727273,20.038901561,-0.109090909,LOUISVILLE CITY,0.226520937,0.379000648,0.127534921,0.0625
41,44.243902439,18.358622617,0.097560976,CANAL WINCHESTER CITY,0.144764514,0.279207741,0.053495299,0.026785714
36,44.861111111,19.358501680,0.055555556,EAST LIVERPOOL CITY,0.135366882,0.239811845,0.064385251,0.086956522
137,50.430656934,17.951648958,0.021897810,CANFIELD CITY,0.172625418,0.311976545,0.075851028,0.004504505
623,47.800963082,17.150333934,0.003210273,AVON CITY,0.140171228,0.269108273,0.047308015,0.017171717
453,48.748344371,18.105474607,0.013245033,MACEDONIA CITY,0.135368348,0.259784313,0.051785853,0.006091618
160,50.5375,18.934474067,-0.11875,ASHLAND CITY,0.162851153,0.309396752,0.069002593,0.028455285
387,41.291989664,19.377087397,0.142118863,BOWLING GREEN CITY,0.162493126,0.282177037,0.073888447,0.033505155
69,49.289855072,18.635908925,0.057971014,MENTOR-ON-THE-LAKE CITY,0.161707296,0.300508196,0.061945081,0.014423077
119424,46.336126692,17.965649126,0.023856176,,0.142613214,0.264502018,0.053355270,0.020337214
98,49.561224490,18.535597586,0.010204082,SHEFFIELD LAKE CITY,0.159432297,0.263004680,0.060044228,0.103896104
49,48.306122449,19.056062117,-0.224489796,WAUSEON CITY,0.154269526,0.283196452,0.066999770,0.028571429
50,49.32,17.099277942,-0.04,WATERVILLE CITY,0.196364442,0.353605903,0.101152649,0.006097561
255,50.101960784,18.476346767,-0.062745098,MEDINA CITY,0.172896117,0.316660826,0.069910168,0.114213198
64,52.578125,19.283848565,0.09375,CORTLAND CITY,0.214262820,0.409598715,0.093274614,0.004901961
117,46.205128205,18.233418760,-0.008547009,READING CITY,0.131830596,0.278367133,0.035140428,0.009036145
95,46.515789474,17.791859935,-0.136842105,LONDON CITY,0.197321001,0.328218549,0.092394087,0.182835821
56,39.964285714,15.982904828,-0.017857143,ADA CITY,0.124445329,0.233967539,0.026490613,0.064516129
317,46.353312303,16.934388373,-0.085173502,MARYSVILLE CITY,0.120742226,0.239175690,0.043473419,0.018361582
88,47.352272727,17.191978732,-0.215909091,CELINA CITY,0.146184680,0.254112164,0.066520091,0.080882353
382,45.960732984,17.260731075,-0.034031414,MIDDLETOWN CITY,0.129274843,0.248905794,0.050467639,0.027475845
59,48.728813559,20.796079296,-0.050847458,WAPAKONETA CITY,0.188216947,0.334342409,0.057388716,0.036585366
1330,43.791729323,17.292841567,0.100751880,DAYTON CITY,0.116446987,0.224707910,0.038773179,0.017816092
631,50.302694136,19.398788435,-0.028526149,CENTERVILLE CITY,0.151280154,0.292775384,0.053646076,0.016806723
177,44.536723164,17.083021093,-0.124293785,XENIA CITY,0.149451047,0.278967625,0.066525855,0.014462810
95,40.926315789,16.980114844,-0.021052632,NORTH COLLEGE HILL CITY,0.114513253,0.227765798,0.038270609,0.014880952
489,45.770961145,19.223360727,-0.040899796,FAIRBORN CITY,0.109942964,0.205790567,0.040500410,0.010093168
39,46.333333333,17.313416357,-0.179487179,JACKSON CITY,0.127261492,0.237051535,0.055370570,0.055555556
135,49.170370370,18.825808238,-0.096296296,PIQUA CITY,0.159059507,0.293874984,0.065848739,0.044934641
87,47.712643678,19.231096454,0.034482759,CIRCLEVILLE CITY,0.151377341,0.253427641,0.065286890,0.036290323
56,48.267857143,20.203951973,0.053571429,MILFORD CITY,0.154094664,0.285030725,0.070913365,0.019736842
1,61,,0,ST. BERNARD CITY,0.171875,0.4,0.028571429,0
21,30.333333333,9.062744250,0.190476190,NELSONVILLE CITY,0.106749475,0.214940258,0.028473761,0
174,47.833333333,18.187553177,0.022988506,LOVELAND CITY,0.176773083,0.298058465,0.067305021,0.022727273
189,45.587301587,19.347303062,-0.031746032,ZANESVILLE CITY,0.160908113,0.277968650,0.065056372,0
98,48.306122449,18.712368787,0.234693878,GIRARD CITY,0.210851245,0.357901862,0.113945134,0.121428571
346,44.638728324,17.765937205,-0.083815029,NEWARK CITY,0.153062749,0.268795648,0.062468138,0.031779661
463,48.812095032,18.892991684,0.131749460,LORAIN CITY,0.166218095,0.280712038,0.077826198,0.093478261
3649,43.949301178,17.876185557,0.131268841,AKRON CITY,0.089029724,0.170183768,0.032553851,0.017720106
774,46.304909561,17.016772844,0.051679587,TWINSBURG CITY,0.138289417,0.254737412,0.037632146,0.023933103
2551,44.951783614,15.105966480,0.090552724,MASON CITY,0.118915026,0.210270040,0.032711791,0.005976602
449,48.937639198,18.962030547,0.035634744,ELYRIA CITY,0.165284778,0.293477971,0.079273746,0.067533129
1266,44.207740916,17.218942693,-0.010268562,FAIRFIELD CITY,0.074067808,0.153064410,0.019004122,0.016011236
420,47.554761905,18.569339864,-0.028571429,GREEN CITY,0.189180682,0.344505968,0.074467327,0.045940171
77,48.714285714,18.108486774,-0.194805195,ORRVILLE CITY,0.160629442,0.286834423,0.067988635,0.058333333
441,45.900226757,18.507713992,0.063492063,CANTON CITY,0.138388455,0.255362381,0.058558250,0.017115600
29,49.758620690,19.981518555,-0.103448276,NEW CARLISLE CITY,0.246793669,0.414572822,0.130900464,0.193181818
34,45.735294118,19.015637622,-0.176470588,DELPHOS CITY,0.176763599,0.303670381,0.068665648,0
65,44.492307692,16.138195257,-0.015384615,UNION CITY,0.123791592,0.241308751,0.047668214,0.027173913
122,50.942622951,21.049842142,0.213114754,ASHTABULA CITY,0.183590456,0.308222018,0.107309869,0.069892473
168,51.089285714,19.970586262,0.053571429,AMHERST CITY,0.172527289,0.315820747,0.078124944,0.063492063
82,50.695121951,21.281005862,-0.109756098,CAMBRIDGE CITY,0.187404377,0.349192491,0.073236332,0.0125
221,50.728506787,18.896333267,0.076923077,FAIRLAWN CITY,0.147191605,0.281398035,0.046855984,0.019461078
320,36.9875,18.657106355,0.153125,OXFORD CITY,0.142646644,0.241096477,0.036937976,0
224,51.933035714,19.186364218,0.053571429,EASTLAKE CITY,0.180013136,0.343851345,0.074877058,0.032857143
932,46.092274678,15.890605632,0.062231760,POWELL CITY,0.135568676,0.259512240,0.040877540,0.008
199,51.829145729,19.397515065,0.110552764,BARBERTON CITY,0.185918712,0.320468080,0.086800020,0.172360248
333,48.126126126,17.630469134,0.072072072,STREETSBORO CITY,0.127646727,0.241854552,0.049760214,0.053547523
86,50.116279070,17.137793533,-0.232558140,BELLBROOK CITY,0.211580696,0.355054238,0.101008645,0.057971014
239,46.966527197,19.411697528,-0.066945607,NORTH CANTON CITY,0.187203786,0.341315841,0.070209181,0.039634146
453,47.335540839,16.172534745,-0.039735099,SPRINGBORO CITY,0.150605045,0.270229148,0.053384144,0.049861496
58,42.155172414,16.234900379,0,COSHOCTON CITY,0.135486837,0.232447096,0.054633361,0.013513514
