Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
37,46.054054054,19.356230616,-0.027027027,BLUFFTON,0.162045091,0.283883119,0.080140114,0.05
1,70,,-1,BROWNSVILLE,0.484375,0.88,0.257142857,0
682,46.552785924,18.812413486,-0.104105572,LIMA,0.137527905,0.256993242,0.055446400,0.030334728
366,47.415300546,19.621268466,0.106557377,TALLMADGE,0.138099848,0.253292256,0.058385545,0.067822384
73,54.780821918,19.559912644,-0.164383562,JEFFERSON,0.288799846,0.454812781,0.145872127,0.125
183,47.956284153,17.016419071,-0.092896175,AMELIA,0.147790624,0.282158376,0.063475118,0.010869565
741,50.303643725,18.528673184,-0.049932524,MANSFIELD,0.143751363,0.273694610,0.059438688,0.028508772
12,60.5,20.856653615,0,WALDO,0.286892059,0.491111111,0.169065766,0.025
281,50.551601423,18.914610923,-0.177935943,ASHLAND,0.185876742,0.346516124,0.076999583,0.030092593
18,50.666666667,21.600653585,-0.166666667,GUYSVILLE,0.171967523,0.314166667,0.085714286,0.057692308
5,49.8,16.361540270,-0.2,CORWIN,0.198125,0.44,0.028571429,0.125
3,56.666666667,19.857828011,0,WILLIAMSFIELD,0.346306818,0.567619048,0.209523810,0.166666667
18,43.944444444,18.203012751,-0.444444444,WEST MANSFIELD,0.219460869,0.362859874,0.071708683,0.025
9,39.888888889,13.932376363,0.111111111,ARLINGTON,0.292824074,0.477936508,0.079141692,0
703,50.108108108,18.857003648,0.098150782,WARREN,0.168351692,0.302942255,0.077254522,0.066481138
12,58.416666667,19.819450196,-0.166666667,AMSTERDAM,0.195906408,0.389318182,0.074032738,0.045454545
1,59,,0,HOLLOWAY,0.015625,0.04,0,0
8,48.375,16.826318670,-0.125,MT PERRY,0.150891426,0.287149123,0.066502463,0
776,50.664948454,18.360296807,0.006443299,MENTOR,0.157264561,0.306341944,0.057906349,0.010399784
14,42.785714286,17.178602842,-0.214285714,MC COMB,0.129247836,0.220769231,0.072789116,0.03125
25,44.24,13.884283681,-0.24,NORTH BEND,0.180905002,0.352351693,0.073071391,0
18,48.5,16.008269922,-0.444444444,NEVADA,0.164370691,0.307966712,0.066269841,0.05
1812,43.317328918,15.642127911,0.026490066,BLACKLICK,0.056486553,0.110352894,0.016146767,0.002650634
39,45.102564103,19.246045215,-0.307692308,HICKSVILLE,0.206497597,0.367190006,0.095456178,0.035714286
12,53.916666667,19.915541365,0.083333333,SOUTH VIENNA,0.090978900,0.176388889,0.035714286,0.05
4783,44.772945850,15.120963669,0.102028016,MASON,0.119218410,0.210969593,0.034354230,0.006132461
25,48.52,17.640200301,-0.12,NEW BREMEN,0.152782234,0.288688619,0.061853480,0.027777778
17,56.294117647,16.773359480,-0.411764706,BELLE CENTER,0.220031763,0.438637771,0.087394958,0.016666667
17,55.588235294,22.037067703,0,JEFFERSONVILLE,0.284109477,0.436339869,0.142410714,0.038461538
2,66,0,-1,CHESTER,0.4296875,0.78,0.214285715,0.125
102,48.431372549,16.604013474,-0.098039216,WAYNESVILLE,0.178327404,0.333915357,0.071818101,0.072289157
44,48.909090909,18.562049533,-0.295454545,WILLARD,0.175792113,0.320877721,0.088367999,0
43,53.232558140,17.167018780,-0.116279070,WALBRIDGE,0.175567417,0.334831706,0.068804964,0.129901961
67,54.731343284,17.039688155,0,WELLINGTON,0.209069736,0.392139235,0.092682555,0.043859649
14,45.857142857,18.211818406,0,NORWICH,0.225685266,0.393946886,0.124704882,0
79,50.481012658,18.534694259,-0.050632911,ST MARYS,0.178901259,0.318501354,0.089194722,0.033333333
14,51.785714286,18.901276194,0,THOMPSON,0.253900376,0.420550402,0.154792826,0
20,42.1,17.035257556,-0.2,CLARKSVILLE,0.213469591,0.395275253,0.093893557,0
16,39.25,16.727223320,-0.125,BEAVER,0.130427178,0.254032738,0.056563573,0
41,55.585365854,18.286573777,-0.243902439,LOUDONVILLE,0.216991870,0.393088687,0.114554677,0.007142857
28,51.5,18.554224836,-0.142857143,NEW WATERFORD,0.139379750,0.250257846,0.036072207,0
397,45.430730479,16.139491772,-0.027707809,MAINEVILLE,0.131832857,0.244896173,0.048188812,0.026402640
727,50.830811554,18.741763657,0.092159560,NORTH OLMSTED,0.151849260,0.289643282,0.062213736,0.004901961
94,43.510638298,13.959037371,0.010638298,PENINSULA,0.135139338,0.263552982,0.048069516,0.024122807
40,53.45,17.688109870,-0.5,FOREST,0.254904414,0.455632576,0.115766690,0.014705882
106,50.132075472,18.416387874,-0.028301887,WAVERLY,0.161433113,0.317395355,0.063720628,0.012048193
15,49.133333333,23.922095783,0,EAST SPARTA,0.171555556,0.348236045,0.057142857,0.055555556
43,52.255813953,21.005773609,-0.279069767,UTICA,0.249842046,0.430611169,0.138834377,0.057142857
24,46.791666667,21.552724365,0.041666667,PIKETON,0.152648790,0.282430556,0.078433402,0.016666667
1308,48.660550459,18.670609212,0.065749235,PARMA,0.156878038,0.266098304,0.084158450,0.037755102
20,50.45,20.038055899,-0.15,SARDINIA,0.175955716,0.350190476,0.050535714,0.017857143
50,51.88,18.919420969,-0.12,MONTPELIER,0.166818037,0.329684683,0.064320049,0.019736842
20,51.65,15.270456513,-0.2,NEW VIENNA,0.214375,0.406876103,0.104634431,0
14,48.071428571,20.001785635,-0.5,PIONEER,0.194840253,0.333845328,0.105269177,0.125
106,47.839622642,17.401771553,-0.103773585,PROCTORVILLE,0.111868301,0.215729518,0.034989036,0
323,45.123839009,17.526293153,0.095975232,BROOKLYN,0.116143462,0.212844976,0.050743961,0
23,45.260869565,15.731316166,-0.217391304,NEW LEBANON,0.103295937,0.202249671,0.042311312,0.014705882
39,57.102564103,18.433086488,-0.282051282,MCCONNELSVILLE,0.177583076,0.318215625,0.095714360,0.015151515
21,57.904761905,15.632993194,0.047619048,NEW SPRINGFIELD,0.245582955,0.487830688,0.098206555,0
1,27,,0,WREN,0.12,0.181818182,0.071428571,
132,50.371212121,17.937297618,0.151515152,MUNROE FALLS,0.128108165,0.238437735,0.043564698,0.025700935
1,36,,0,STEWART,0.103448276,0.272727273,0,0
5,65.2,11.031772296,0.2,PHILO,0.25625,0.496,0.114285714,0
56,48.017857143,18.474051651,-0.142857143,WHITEHOUSE,0.182252980,0.363720845,0.064606512,0.011627907
113,49.592920354,18.852641520,0.026548673,NORTON,0.174343505,0.331539718,0.069093938,0.078313253
42,50.666666667,16.567182763,0.214285714,MCDONALD,0.231981108,0.410567924,0.117023021,0.1
1,68,,-1,RIDGEWAY,0.03125,0.04,0.028571429,0
125,51.16,18.521304211,-0.168,WASHINGTON CH,0.131793254,0.256706698,0.045992706,0
