Zip Code,Population
45433,"2,514"
45162,"2,510"
44666,"2,505"
43944 and 44423,"2,495"
44412,"2,492"
44048,"2,477"
44818,"2,460"
45370,"2,445"
45724,"2,424"
44633,"2,423"
45325,"2,407"
45306,"2,390"
43988,"2,389"
43137,"2,387"
43973,"2,383"
45860,"2,382"
44086,"2,381"
43164,"2,371"
43148,"2,359"
43739,"2,345"
43045,"2,342"
44843,"2,339"
44836,"2,330"
43554,"2,326"
45645,"2,317"
45174,"2,305"
43149,"2,293"
43946,"2,259"
44608,"2,242"
44215,"2,209"
44411,"2,208"
43217,"2,207"
45203,"2,202"
43986 and 45877,"2,200"
45384,"2,186"
45101,"2,184"
45874,"2,178"
45684,"2,169"
43150,"2,164"
43977,"2,152"
43749,"2,142"
43145,"2,138"
45682,"2,133"
43903,"2,125"
43466,"2,110"
45871,"2,103"
43340,"2,101"
44613,"2,086"
43071,"2,070"
45827,"2,065"
44807,"2,064"
43730,"2,063"
44611,"2,056"
43771,"2,043"
45346,"2,038"
44450,"2,014"
45334,"2,001"
43837,"1,979"
44675,"1,970"
43716,"1,952"
43527,"1,947"
45153,"1,928"
43901,"1,918"
44276,"1,899"
45634,"1,898"
45359,"1,896"
44235,"1,894"
43772,"1,867"
45418,"1,864"
43116,"1,863"
45873,"1,855"
"44634, 45772, and 44417","1,847"
44866,"1,838"
44620,"1,833"
43406,"1,830"
45363,"1,811"
43443,"1,806"
44441,"1,803"
43933,"1,791"
43755 and 45616,"1,762"
43348,"1,759"
45896,"1,754"
44443,"1,753"
45812,"1,744"
43556,"1,736"
45337,"1,724"
43780,"1,723"
44859,"1,721"
45681,"1,719"
44455,"1,699"
43734,"1,694"
44625,"1,693"
43534,"1,681"
43976,"1,672"
45743,"1,671"
45889 and 45761,"1,663"
44064,"1,655"
44854,"1,639"
43360,"1,617"
43760,"1,611"
43115,"1,587"
44404,"1,583"
43766,"1,578"
44695,"1,560"
43106,"1,550"
44826,"1,540"
44010,"1,533"
43533 and 45696,"1,525"
45729,"1,520"
45657,"1,518"
44817 and 44669,"1,517"
45146,"1,507"
43728,"1,506"
43908,"1,496"
43746,"1,494"
43347,"1,492"
43457,"1,490"
45745,"1,485"
43913,"1,479"
45168,"1,472"
44427,"1,458"
44853,"1,442"
44638 and 44032,"1,434"
45862,"1,420"
45685,"1,419"
43840,"1,416"
43549,"1,410"
45768,"1,409"
43963,"1,406"
45863,"1,398"
43540,"1,384"
45672,"1,368"
45148,"1,366"
45382,"1,362"
45735,"1,360"
43754 and 43435,"1,358"
43332,"1,356"
45881,"1,355"
44855,"1,347"
43720,"1,328"
45333 and 44449,"1,313"
43432 and 43413,"1,309"
43320,"1,302"
43464,"1,295"
45853,"1,293"
45654,"1,289"
45836,"1,287"
43445,"1,270"
43778,"1,269"
45678,"1,263"
45317,"1,260"
43727,"1,258"
45034,"1,251"
43451,"1,246"
43511,"1,239"
45339,"1,235"
43732,"1,226"
45788,"1,216"
43067,"1,209"
43066,"1,202"
44418,"1,189"
43915,"1,188"
43525,"1,186"
43504,"1,181"
43524,"1,179"
43802,"1,173"
45326,"1,145"
43356,"1,137"
45711,"1,134"
45312,"1,131"
43843,"1,129"
43462,"1,112"
44308,"1,110"
45766,"1,109"
44454,"1,097"
43343,"1,085"
43442,"1,083"
44682,"1,061"
43337,"1,060"
45719,"1,056"
43971,"1,037"
44802,"1,033"
45778,"1,028"
44503,"1,020"
45849 and 44093,"1,018"
44250,"1,009"
45775,990
45821,986
43501,980
45867,968
44251,958
45388,946
43319,943
45362,941
45898,938
43333,935
44702,925
45348,919
43341,915
44490,903
45841,888
44804,883
45330,874
43136,864
45779 and 43767,856
43345,847
43153,842
43747 and 43779,840
45851,839
44628,832
45894 and 43930,815
43932,806
44887,800
45160,792
45321,791
44689 and 43152,782
45876,781
43013,778
44841,775
43811,769
45620 and 45332,765
44699,756
43084,748
43359,742
45062,732
45340,701
43323,699
45776 and 43548,693
45001,685
43782,676
43535,673
43437,668
43788,663
45674,656
45770,640
43157,630
44101,628
45695,613
44651,612
44653,611
44815,607
45890,606
43407,605
45868,604
45003,590
43948,587
45673,582
45688,578
45328,576
45646,571
45354,570
45835,550
43006,537
45886,534
43126,519
45820,508
43768,485
